Name,Fulladdress,Street,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Place Id,Price,Email,Social Medias
The Vigour Sphere | Gym & Premium Workout Center,"Unit No - 3 & 4, Victoria Building, near Rani Baug, opposite to Railway Hospital, Vishwamangal Society, Dhaku Prabhuchi Wadi, Byculla East, Byculla, Mumbai, Maharashtra 400033",Unit No - 3 & 4,"Gym,Fitness center",081699 99014,"081699 99014,+91 81699 99014",false,124,4.9,https://search.google.com/local/reviews?placeid=ChIJnZuT_ifP5zsRX-grA5nvV2w&q=premium+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7806971919532288095,18.9809053,72.8345427,https://thevigoursphere.com/,thevigoursphere.com,"Wednesday:6 am–11 pm,Thursday:6 am–11 pm,Friday:6 am–11 pm,Saturday:6 am–11 pm,Sunday:9 am–4 pm,Monday:6 am–11 pm,Tuesday:6 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkLHNvABqtJjnOxIkdvwWcAWciGKwgNYYxVXo-v-3cRZ7UMhT4nx1MtouOx16GBlSh5fbO4un8pMf4-Uyvt7pGqQFX2ZjOsRMoZyrGbwCKQWmBxGw5YiQTg1I9R1-U7213rWyV9Xw0RAKjt=w80-h106-k-no,7806971919532288095,ChIJnZuT_ifP5zsRX-grA5nvV2w,,visible after upgrade,visible after upgrade
Plus Fitness 24/7 Mumbai Central,"Navjeevan Society Wing-A, Shop No 105, 1st Floor Nathani Heights, Commercial, Lamington Rd, Mumbai Central, Mumbai, Maharashtra 400008",Navjeevan Society Wing-A,"Gym,Fitness center,Personal trainer,Physical fitness program,Women's personal trainer",077009 54224,"077009 54224,+91 77009 54224",false,1092,4.7,https://search.google.com/local/reviews?placeid=ChIJCego7xPP5zsRYS72-euNG08&q=premium+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5700305798017986145,18.968528199999998,72.81980209999999,https://www.plusfitness.co.in/gyms/mumbai-central/,plusfitness.co.in,"Wednesday:Open 24 hours,Thursday:Open 24 hours,Friday:Open 24 hours,Saturday:Open 24 hours,Sunday:Open 24 hours,Monday:Open 24 hours,Tuesday:Open 24 hours",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmrA8Hb7-lAoiT-OsPODY2m_BNUL7mGhduELTPG9iDhy8C3y2nIKVVPJ2OSoGO9hvC-6CkVhXqO1F_GBkB7Uttf3FiMhAX53dYLzDnAxqXASTYjdoC5rFfcMoNYcF37j9oSgU3Wax8HQol1=w122-h92-k-no,5700305798017986145,ChIJCego7xPP5zsRYS72-euNG08,,visible after upgrade,visible after upgrade
Waves Gym,"5th Floor, Morya Estate, New Link Rd, opp. Infiniti Mall, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053",5th Floor,"Gym,Fitness center,Indoor cycling,Personal trainer,Weight loss service,Weightlifting area,Yoga studio",022 6678 7970,"022 6678 7970,+91 22 6678 7970",false,897,4.9,https://search.google.com/local/reviews?placeid=ChIJmdvRWzy25zsRlvRQgdHMEWg&q=premium+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7499000054738384022,19.1414084,72.8319625,https://wavesgym.com/free-gym-trial/,wavesgym.com,"Wednesday:6 am–12 am,Thursday:6 am–12 am,Friday:6 am–12 am,Saturday:6 am–12 am,Sunday:6 am–10 pm,Monday:6 am–12 am,Tuesday:6 am–12 am",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlm_JOgs-s4mX-_gw4pYFTGh0QCUjgjum4hfUFUSpr8KcTLq3WcOl9kaHetflLl2KYW-FpRYZMQjFSA2x802tfA2_PshD0-k-4TFZIsonmL4eZWQkJhkRLfPs-vfWdku7jCx1jb=w122-h92-k-no,7499000054738384022,ChIJmdvRWzy25zsRlvRQgdHMEWg,,visible after upgrade,visible after upgrade
"OFC Gym, Best Affordable Luxury Gym Chowpatty Mumbai","First Floor, OFC Gym, 21, opposite Chowpatty, Mumbai, Maharashtra 400007",First Floor,"Gymnastics center,Fitness center,Gym",087798 10082,"087798 10082,+91 87798 10082",false,120,4.3,https://search.google.com/local/reviews?placeid=ChIJwWPAWTbP5zsR1gF0umdb_8Y&q=premium+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14339280239638872534,18.9560277,72.8123482,https://omkarfitnessclub.in/,omkarfitnessclub.in,"Wednesday:6 am–11 pm,Thursday:6 am–11 pm,Friday:6 am–11 pm,Saturday:6 am–10 pm,Sunday:7 am–2 pm,Monday:6 am–11 pm,Tuesday:6 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk2hTMgZSzul2YXhaXlL56GqYxFcJAVBGJjEirE4AEEDWwAUYT4uA4lxTZL2Lrl9R1JoItC3AeVPXgz1MkcqN8fKfXD7Xbr-HZmVUEd-fV22drFkaTh603l2kCytMZNFi2NOeu-3g=w138-h92-k-no,14339280239638872534,ChIJwWPAWTbP5zsR1gF0umdb_8Y,,visible after upgrade,visible after upgrade
Iron House - Premium Wellness,"Bhima Housing Society, Sir Pochkhanawala Rd, B Wing, Police Camp, Worli Sea Face, Worli, Mumbai, Maharashtra 400030",Bhima Housing Society,Gym,086929 33999,"086929 33999,+91 86929 33999",false,119,4.6,https://search.google.com/local/reviews?placeid=ChIJgWHhnWTP5zsRPyTuajaUrP0&q=premium+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=18279147949033137215,19.0041378,72.8143793,https://ironhouseworli.com/,ironhouseworli.com,"Wednesday:6 am–10:30 pm,Thursday:6 am–10:30 pm,Friday:6 am–10:30 pm,Saturday:6 am–10:30 pm,Sunday:9 am–5 pm,Monday:6 am–10:30 pm,Tuesday:6 am–10:30 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm1_yXgOKAW2oDs2Y77zmgM4VstYqr_178OE88f1p_wwXCeDVxxCfM1udJQZ9CHb8yMKD8hRhlc4-1ik2VqYJH30ULWnckhFLmMBFzsi1vpuHsvJ3OGO5gppB-iOQGMUXTRXNj9EcD_-PTy=w163-h92-k-no,18279147949033137215,ChIJgWHhnWTP5zsRPyTuajaUrP0,,visible after upgrade,visible after upgrade
I Think Fitness,"4th Floor, St. Paul Media Complex, 24th, Turner Rd, opp. Duruelo Convent High School, Bandra West, Mumbai, Maharashtra 400050",4th Floor,Gym,077180 33300,"077180 33300,+91 77180 33300",false,270,4.5,https://search.google.com/local/reviews?placeid=ChIJY4T-NhTJ5zsR-6eOJSoRazw&q=premium+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4353592337500121083,19.0611149,72.8323465,http://facebook.com/ithinkfitness,facebook.com,"Wednesday:6 am–11 pm,Thursday:6 am–11 pm,Friday:6 am–11 pm,Saturday:6 am–10 pm,Sunday:10 am–7 pm,Monday:6 am–11 pm,Tuesday:6 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmzesbVOqDbHa2U1fFfNhESYwoqIuqQ5Ytd9U5ckoBVhpxkMJt5bp0paaOfM1uAsYiL3_DS-AGBQnJQjNfFFcR1hLCLTeEeTpcg_OIbk3E89Z81mFgyS0VCGKakKsNIHZ2uaew4=w163-h92-k-no,4353592337500121083,ChIJY4T-NhTJ5zsR-6eOJSoRazw,,visible after upgrade,visible after upgrade
Planet Muscle Performance & Fitness Centre,"3rd floor, Ward Office, Business Point building, Paliram Rd, near BMC K/W, Lohana Colony, Andheri West, Mumbai, Maharashtra 400058","3rd floor, Ward Office","Gym,Fitness center,Physiotherapy Center",084549 41861,"084549 41861,+91 84549 41861",false,648,4.5,https://search.google.com/local/reviews?placeid=ChIJpd8RamXJ5zsRFu46a8EkBmE&q=premium+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6991315884685585942,19.1195131,72.8440416,http://www.planetmuscle.fit/,planetmuscle.fit,"Wednesday:6 am–12 am,Thursday:6 am–12 am,Friday:6 am–12 am,Saturday:6 am–12 am,Sunday:12–9 pm,Monday:6 am–12 am,Tuesday:6 am–12 am",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmFLxzKxLGQvD-hMa-kAOf3DZhWk3LN9judRUfZmsk2YsNKMJ0dRPAfUB0U77FzV8P_gmQ7QNhMEezUvGVWBzWT7mcDuueVxTlDkA5pdM6MAyI0AU2BEeJuT5iMmUugAB3vQL4d2w=w122-h92-k-no,6991315884685585942,ChIJpd8RamXJ5zsRFu46a8EkBmE,,visible after upgrade,visible after upgrade
Planet Muscle Performance and Fitness Centre,"Cottage 186,187, Aram Nagar Part Two, near Gurudwara, Versova, Andheri West, Mumbai, Maharashtra 400061","Cottage 186,187, Aram Nagar Part Two","Gym,Fitness center,Physiotherapy Center",084548 64948,"084548 64948,+91 84548 64948",false,652,4.7,https://search.google.com/local/reviews?placeid=ChIJpwba45W35zsR3rBZVvdy7-s&q=premium+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=17000933524978118878,19.1323461,72.81331,https://www.planetmuscle.fit/,planetmuscle.fit,"Wednesday:6 am–12 am,Thursday:6 am–12 am,Friday:6 am–12 am,Saturday:6 am–12 am,Sunday:12–9 pm,Monday:6 am–12 am,Tuesday:6 am–12 am",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnMDoQcp23bduE05_aXRepb-gzm079ePj7StaYNbqnj7ISTxI_1ObIV9kMMClsb_Q907wAnOJd2C2eDevQrCSIIS9bopAZWy3N4oYjxdsi-mviVQdrJwISHVweVtMmMsxEeDRvb1g=w80-h142-k-no,17000933524978118878,ChIJpwba45W35zsR3rBZVvdy7-s,,visible after upgrade,visible after upgrade
Nitrro Bespoke Fitness Breach Candy,"Skybay, Nitrro Bespoke Fitness, Hubtown Skybay, Hubtown, Breach Candy, Cumballa Hill, Mumbai, Maharashtra 400026","Skybay, Nitrro Bespoke Fitness",Gym,091673 56491,"091673 56491,+91 91673 56491",false,317,4.3,https://search.google.com/local/reviews?placeid=ChIJ29BwJnjO5zsRabUH-5eOOpc&q=premium+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10897179031779128681,18.975167499999998,72.8061591,https://www.nitrro.in/south-mumbai/,nitrro.in,"Wednesday:6 am–11 pm,Thursday:6 am–11 pm,Friday:6 am–11 pm,Saturday:6 am–11 pm,Sunday:9 am–1 pm,Monday:6 am–11 pm,Tuesday:6 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWncWxRKTyO7THm_lYeT9nxtLV-QBZ9TBHHAUun1WpPBqtb6MQ50fL2GFlKXPRPx6zsXkMmNB_Le2Za_3sS4qU1oR1JrWCdvmyrNWTljrR3htbeQj-C8VsVZo3T53cQVLKPqiPBC=w138-h92-k-no,10897179031779128681,ChIJ29BwJnjO5zsRabUH-5eOOpc,,visible after upgrade,visible after upgrade
"Gold's Gym Bandra | Best Gym in Bandra, Mumbai","4th Floor, Landmark Building, Above HDFC Bank Dr BR Ambedkar Road, Pali Mala Rd, Bandra West, Mumbai, Maharashtra 400050","4th Floor, Landmark Building, Above HDFC Bank Dr BR Ambedkar Road","Gym,Fitness center,Gymnasium school,Personal trainer,Physical fitness program,Training center,Weight loss service,Weightlifting area",090290 02198,"090290 02198,+91 90290 02198",false,733,4.2,https://search.google.com/local/reviews?placeid=ChIJ____6mrJ5zsRkEKwfpSHW70&q=premium+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13644648567899439760,19.0613444,72.82925519999999,https://goldsgym.in/our-gyms/gold-s-gym-mumbai-bandra/,goldsgym.in,"Wednesday:6 am–11:45 pm,Thursday:6 am–11:45 pm,Friday:6 am–11:45 pm,Saturday:6 am–11:45 pm,Sunday:9 am–6 pm,Monday:6 am–11:45 pm,Tuesday:6 am–11:45 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnVSh5chF49d5so6w5JrRSqlTBjHAlcJ3fDe80NT4L5lnC5gsknOKX67MypOysZx4UHl7KK2XXjL7xboXpPYZcvwWT9eqdta4GIk-D1C7PfK0urgTXEAtCqGDgUKj5TIrGZhknU=w138-h92-k-no,13644648567899439760,ChIJ____6mrJ5zsRkEKwfpSHW70,,visible after upgrade,visible after upgrade
